Source,Headline,Summary
Times of India,Supreme Court refuses to entertain PIL against BJP MP Nishikant Dubey's outburst,"The Supreme Court declined a PIL seeking action against BJP MP Nishikant Dubey for allegedly criticizing the CJI and SC. The bench stated it would issue a short order explaining the dismissal. Another PIL concerning tourist safety in J&K after the Pahalgam attack was also dismissed, with the court criticizing the petitioner's motives and accusing him of seeking publicity."
Times of India,"Thrice rejected for MBBS, disabled to get entry to AIIMS after Supreme Court order","The Supreme Court intervened in the case of Kabir Paharia, who was previously deemed ineligible for MBBS due to his disability. After multiple rejections, the court ordered AIIMS, New Delhi, to grant him admission in the 2025-26 session, citing a violation of his fundamental rights. The court also directed the National Medical Commission to revise disability assessment guidelines, emphasizing functional ability over the extent of disability."
Times of India,"Targeted because of cobbler's son, SC reinstates Punjab judicial officer","The Supreme Court condemned caste-based discrimination within the judiciary, highlighting the targeting of a judicial officer in Punjab due to his lower caste origin as a cobbler's son. The court upheld the Punjab and Haryana High Court's decision to reinstate Prem Kumar, an additional district and sessions judge, who was unfairly dismissed."
Times of India,"In closed-door meet, UNSC discusses faceoff","Pakistan, a non-permanent member, has requested a closed-door UN Security Council consultation to discuss rising tensions with India, alleging aggressive behavior. India's External Affairs Minister S Jaishankar is engaging with council members to highlight Pakistan's support for terrorism and seek justice for the Pahalgam attack. The consultation, focusing on threats to international peace, is unlikely to yield substantive outcomes."
Times of India,"Amid Pak's reckless missile tests, Japan backs India's war on terror","Defence Minister Rajnath Singh conveyed to his Japanese counterpart Gen Nakatani India's concerns regarding Pakistan's continued support for cross-border terrorism and its role in nuclear proliferation, which threatens regional stability. Both nations condemned terrorism and pledged to enhance global cooperation to counter cross-border threats, with Japan expressing solidarity with India following the Pahalgam attack."
Times of India,Cop becomes 1st ‘candidate’ acquitted in Vyapam case,"In a significant setback for the Madhya Pradesh STF, a CBI court in Bhopal acquitted Sajan Singh Thakur, a police constable, in the Vyapam scam. Thakur was accused of using a proxy in the 2013 recruitment test, but the court cited inconclusive forensic results and lack of evidence. This marks the first acquittal of a candidate in the massive exam fraud case, raising questions about the prosecution's case."
Times of India,BSF incited flare-up in Murshidabad: West Bengal CM Mamata Banerjee,"West Bengal CM Mamata Banerjee has blamed BSF for instigating the Murshidabad violence, alleging their firing on protesters led to subsequent deaths. She criticized the BJP for focusing on Murshidabad while ignoring Manipur and other troubled states. Banerjee accused the BJP of hiding the riot victims' families to prevent her from providing compensation and using them to criticize her."
Times of India,Court: Mental illness no bar to custody unless danger to kid,"A sessions court in Mumbai upheld a magistrate's decision to grant temporary custody of a 16-year-old son to his mother, dismissing the father's appeal. The court emphasized that a parent's mental illness doesn't automatically disqualify them from custody unless the child's welfare is endangered. The judge prioritized the child's welfare and noted the magistrate's thorough consideration of the case, including interaction with the child and mediation efforts."
Times of India,Wood for Digha idols not from Puri shrine: Odisha government probe,"An Odisha government probe refuted claims that surplus wood from the Puri Jagannath temple was used for idols at the Digha shrine in Bengal. Officials attributed the controversy to a servitor's 'slip of tongue' during a TV interview. The investigation confirmed that the Digha idols were crafted using neem wood sourced from a timber supplier, not from the Puri temple's surplus."
Times of India,Punjab government says Nangal Dam police deployment linked to India-Pak tension,"Amidst a water release dispute with Haryana, the Punjab government justified its deployment of a large police force at the Nangal Dam by citing heightened India-Pakistan tensions following the Pahalgam terror incident. This explanation was presented to the Punjab and Haryana High Court, which is hearing petitions from the Bhakra Beas Management Board (BBMB) and others regarding Punjab's actions."
Times of India,"Now, Odisha threatens action against Bengal over 'Jagannath Dham' in Digha","A dispute has erupted between Odisha and Bengal over the naming of a newly inaugurated Jagannath temple in Digha as ""Jagannath Dham,"" with Odisha threatening legal action. Bengal's Chief Minister Mamata Banerjee retaliated, accusing Odisha of jealousy and targeting Bengalis. The conflict has ignited social media campaigns and accusations of discrimination against Bengali-speaking people in BJP-governed states."
Times of India,‘Orders reserved for eternity’: Supreme Court asks HCs for pending cases data,"The Supreme Court has expressed serious concerns about high court judges delaying judgments indefinitely, violating the right to speedy justice. It directed all High Courts to provide details of cases with reserved judgments pending pronouncement before January 31. Following this directive, Jharkhand HC promptly delivered verdicts in long-pending appeals, acquitting convicts, and scheduled orders for other delayed cases."
Times of India,"Selection panel 'differs', CBI chief may get 1-year extension","CBI Director Praveen Sood is likely to receive a one-year extension, amidst indications of disagreement within the selection committee, comprising PM Modi, CJI Khanna, and LoP Gandhi. Sources suggest the Congress leader hasn't approved any potential successors. Sood's initial two-year term concludes next month. Several senior IPS officers, including Sanjay Arora, Manoj Yadav, and Kailash Makwana, are being considered."
Times of India,"No stay, next CJI B R Gavai to decide waqf Act validity","CJI Sanjiv Khanna has passed the decision on the validity of the Waqf Amendment Act, 2025 to incoming CJI B R Gavai, scheduling a hearing for May 15. The decision came after the court reviewed the Centre's response, noting the need for detailed examination of waqf property registration and related figures. The government maintains the Act benefits the Muslim community, while petitioners have raised concerns."
Times of India,"Union government yet to respond, HC dismisses Rahul Gandhi's citizenship PIL","The Allahabad High Court's Lucknow bench dismissed a PIL questioning Rahul Gandhi's citizenship, advising the petitioner to pursue other legal options. The court cited the Union government's inability to provide a timeline for resolving the complaint. A BJP worker alleged Rahul held British citizenship, making him ineligible to be an MP, but the Centre awaits information from the UK government."
Times of India,UNSC holds closed-door consultations amid escalating India-Pakistan tensions after Pahalgam terror attack,"The United Nations Security Council convened closed-door consultations on Monday to address the escalating tensions between India and Pakistan, following a warning from secretary-general António Guterres about the deteriorating relations. The meeting was prompted by the recent terror attack in Pahalgam, Jammu and Kashmir, which resulted in the deaths of 26 civilians."
Times of India,Pahalgam attack should not derail governance and development in J&K: Omar Abdullah,"Chief Minister Omar Abdullah emphasized that the Pahalgam terror attack would not impede governance and development in Jammu and Kashmir, echoing the central government's sentiment. He resumed office in Srinagar, prioritizing action, accountability, and inclusive development. Abdullah highlighted the importance of a smooth Amarnath Yatra and the anticipated inauguration of the Kashmir rail link to boost the region."
Times of India,"India makes Chenab run dry, for now","Following a terror attack and the suspension of the Indus Water Treaty, India has restricted water flow from the Baglihar and Salal dams on the Chenab River. This unprecedented action led to dramatically low water levels, allowing residents to walk across the riverbed for the first time in memory. The move highlights India's ability to regulate water resources and has sparked debate over the treaty's impact on the region."
Times of India,"Mehbooba Mufti slams closure of tourist spots, detention of locals after Pahalgam attack","Mehbooba Mufti has strongly criticized the government's decision to close tourist destinations in Kashmir following the Pahalgam attack, highlighting the negative impact on tourism and local livelihoods. She voiced concern over the widespread detention of locals, including vendors and ponywallahs, and cautioned against collective punishment and the alienation of the Kashmiri people. Mufti urged financial assistance for tourism-dependent workers ahead of the Amarnath Yatra."
Times of India,Pakistan test-fires missile amid escalating tensions with India,"Pakistan's military recently conducted successful test launches of its Fatah and Abdali missiles, showcasing enhanced precision and range amid regional tensions. These tests, part of Exercise INDUS, aim to validate technical parameters and ensure operational readiness. The actions underscore Pakistan's commitment to bolstering its defense capabilities in response to perceived threats and escalating tensions with India."
Times of India,Four held for nomadic woman’s ‘rape-murder’ in J&K,"In a shocking incident near Nishat, Srinagar, a nomadic woman was allegedly raped and murdered, triggering widespread outrage. Police have arrested four men suspected of the heinous crime, which occurred while the victim was grazing her goats. Political figures are condemning the act, highlighting concerns about substance abuse and demanding justice for the victim and her family."
Times of India,"Poonch terror hideout busted, tiffin-box IEDs seized","Security forces in Jammu and Kashmir's Poonch district have successfully dismantled a terrorist hideout in the Surankote area, recovering a cache of IEDs concealed in tiffin boxes and steel buckets. The operation, conducted by a joint team, also led to the seizure of wireless communication equipment and other materials. This discovery has thwarted potential terrorist attacks in the region, prompting ongoing search operations."
